Unnamed: 0,name,station,lat,lon,line,curiosidade
aacd-servidor,Aacd Servidor,aacd-servidor,-23.5978246,-46.652374,['lilas'],Estação Aacd Servidor é a única do metrô de SP a ter elevador panorâmico.
adolfo-pinheiro,Adolfo Pinheiro,adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],A estação Adolfo Pinheiro tem um mural com azulejos que retratam a história da região.
alto-da-boa-vista,Alto Da Boa Vista,alto-da-boa-vista,-23.6416251,-46.6994344,['lilas'],A estação Alto Da Boa Vista abriga a segunda escada rolante mais inclinada do metrô de São Paulo.
alto-do-ipiranga,Alto Do Ipiranga,alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Foi inaugurada em 1978 e possui uma escultura de bronze em homenagem ao bairro do Ipiranga.
ana-rosa,Ana Rosa,ana-rosa,-23.5818713,-46.6381039,"['azul', 'verde']",Estação Ana Rosa é a única do Metrô de SP a ter um jardim em seu mezanino.
anhangabau,Anhangabau,anhangabau,-23.5478254,-46.63918,['vermelha'],Esculturas de gigantes protegem a estação.
armenia,Armenia,armenia,-23.5254103,-46.629258965,['azul'],Primeira estação de metrô com plataforma elevada em São Paulo.
artur-alvim,Artur Alvim,artur-alvim,-23.5402438,-46.4847063,['vermelha'],A estação Artur Alvim é a estação mais movimentada da Linha 3-Vermelha.
belem,Belem,belem,-23.5428718,-46.589615,['vermelha'],A estação Belém é conhecida por sua arquitetura modernista.
borba-gato,Borba Gato,borba-gato,-23.6334661,-46.6928675,['lilas'],"Possui uma das maiores áreas envidraçadas do sistema, proporcionando uma vista panorâmica da cidade."
bras,Bras,bras,-23.5453263,-46.6164435,['vermelha'],Bras A estação Bras possui uma galeria de arte subterrânea.
bresser-mooca,Bresser Mooca,bresser-mooca,-23.5463606,-46.6071519,['vermelha'],Bresser Mooca A estação Bresser-Mooca foi inaugurada em 1988 e foi a primeira estação subterrânea construída fora do centro de São Paulo.
brigadeiro,Brigadeiro,brigadeiro,-23.5677281,-46.6489369,['verde'],Brigadeiro Uma curiosidade: A estação Brigadeiro é considerada a mais profunda do sistema de metrô de São Paulo.
brooklin,Brooklin,brooklin,-23.6268017,-46.6881279,['lilas'],Brooklin É a estação mais profunda de todo o metrô de São Paulo!
butanta,Butanta,butanta,-23.5718995,-46.7080896,['amarela'],"Butanta Estação Butantã tem um painel de azulejos retratando um poema escrito por Mário de Andrade, famoso escritor brasileiro."
camilo-haddad,Camilo Haddad,camilo-haddad,-23.59551685,-46.5375900881897,['prata'],Camilo Haddad Estação com a plataforma mais profunda do metrô de SP
campo-limpo,Campo Limpo,campo-limpo,-23.649246,-46.7589296,['lilas'],"Campo Limpo Túnel mais profundo da rede, com 48 metros de profundidade."
capao-redondo,Capao Redondo,capao-redondo,-23.6591689,-46.7680006,['lilas'],Capao Redondo Primeira estação de metrô da linha 5-Lilás a ser construída.
carandiru,Carandiru,carandiru,-23.5095466,-46.6249771474585,['azul'],"Carandiru Escolhida como cenário para o filme ""Carandiru"" de Hector Babenco."
carrao,Carrao,carrao,-23.5378874,-46.5642624,['vermelha'],"Carrao É a estação mais profunda da linha 3-vermelha, com 51 metros de profundidade."
chacara-klabin,Chacara Klabin,chacara-klabin,-23.5926813,-46.6306807,"['lilas', 'verde']",Chacara Klabin Primeira estação de metrô de São Paulo a ter um bicicletário.
clinicas,Clinicas,clinicas,-23.5541125,-46.6730048,['verde'],Clinicas Primeira estação de metrô a possuir elevadores panorâmicos.
conceicao,Conceicao,conceicao,-23.6350111,-46.641295,['azul'],"Conceicao Segunda estação mais profunda de São Paulo, com 43 metros de profundidade."
consolacao,Consolacao,consolacao,-23.5581208,-46.6602193,['verde'],Consolacao Estação Consolação possui um mural de azulejos inspirado em elementos da arte indígena brasileira.
corinthians-itaquera,Corinthians Itaquera,corinthians-itaquera,-23.5422994,-46.4712065,['vermelha'],Corinthians Itaquera Primeira estação de metrô em São Paulo com integração com estádio de futebol.
eucaliptos,Eucaliptos,eucaliptos,-23.6097955,-46.668617,['lilas'],Eucaliptos Décima estação mais movimentada do metrô SP
faria-lima,Faria Lima,faria-lima,-23.5672551,-46.6939585,['amarela'],"Faria Lima Primeira estação do metrô de São Paulo a ter acesso direto às plataformas, sem a necessidade de catracas."
fradique-coutinho,Fradique Coutinho,fradique-coutinho,-23.5662284,-46.6841386,['amarela'],Fradique Coutinho Possui um painel de azulejos que retrata o bairro de Pinheiros.
giovanni-gronchi,Giovanni Gronchi,giovanni-gronchi,-23.6439301,-46.7339828,['lilas'],Giovanni Gronchi Foi a primeira estação da Linha 5-Lilás a ter passarelas de conexão com terminais de ônibus.
guilhermina-esperanca,Guilhermina Esperanca,guilhermina-esperanca,-23.5293046,-46.5166401,['vermelha'],Guilhermina Esperanca Primeira estação do metrô com plataforma central em São Paulo.
higienopolis-mackenzie,Higienopolis Mackenzie,higienopolis-mackenzie,-23.5489592,-46.6523049,['amarela'],"Higienopolis Mackenzie Localizada na Linha 4-Amarela, a estação Higienópolis-Mackenzie fica próxima a importantes instituições de ensino e um tradicional bairro de classe alta de São Paulo."
hospital-sao-paulo,Hospital Sao Paulo,hospital-sao-paulo,-23.5983051,-46.6455771,['lilas'],Hospital Sao Paulo Primeira estação de metrô do Brasil com acessibilidade para deficientes visuais.
jabaquara,Jabaquara,jabaquara,-23.6463382,-46.6410462,['azul'],Jabaquara A estação Jabaquara é a primeira estação da linha 1-Azul e foi inaugurada em 14 de setembro de 1974.
japao-liberdade,Japao Liberdade,japao-liberdade,-23.5551768,-46.6356017,['azul'],Japao Liberdade Primeira estação do metrô de SP com nome em outro idioma.
jardim-sao-paulo-ayrton-senna,Jardim Sao Paulo Ayrton Senna,jardim-sao-paulo-ayrton-senna,-23.4922867,-46.6188575,['azul'],Jardim Sao Paulo Ayrton Senna A estação possui um mural em homenagem ao piloto Ayrton Senna.
